name,LION
PA(P-30:3),LION:0031269
PA(P-31:0),LION:0031270
PA(P-31:1),LION:0031277
PA(P-31:2),LION:0031280
PA(P-31:3),LION:0031281
PA(P-33:0),LION:0031294
PA(P-33:1),LION:0031301
PA(P-33:2),LION:0031302
PA(P-33:3),LION:0031303
PA(P-33:4),LION:0031304
PA(P-35:0),LION:0031308
PA(P-35:1),LION:0031312
PA(P-35:2),LION:0031313
PA(P-35:3),LION:0031317
PA(P-35:4),LION:0031318
PA(P-35:5),LION:0031322
PA(P-37:0),LION:0031326
PA(P-37:1),LION:0031330
PA(P-37:2),LION:0031331
PA(P-37:3),LION:0031341
PA(P-37:4),LION:0031342
PA(P-37:5),LION:0031343
PA(P-37:6),LION:0031344
PA(P-37:7),LION:0031345
PA(P-33:5),LION:0031349
PA(P-35:6),LION:0031350
PA(P-39:0),LION:0031355
PA(P-39:1),LION:0031356
PA(P-39:2),LION:0031360
PA(P-39:3),LION:0031361
PA(P-39:4),LION:0031363
PA(P-39:5),LION:0031368
PA(P-39:6),LION:0031369
PA(P-39:7),LION:0031380
PA(P-39:8),LION:0031382
PA(P-41:0),LION:0031383
PA(P-41:1),LION:0031384
PA(P-41:2),LION:0031385
PA(P-41:3),LION:0031386
PA(P-41:4),LION:0031387
PA(P-41:5),LION:0031388
PA(P-41:6),LION:0031393
PA(P-41:7),LION:0031394
PA(P-41:8),LION:0031399
PA(P-43:0),LION:0031400
PA(P-43:1),LION:0031404
PA(P-43:2),LION:0031405
PA(P-43:3),LION:0031410
PA(P-43:4),LION:0031412
PA(P-43:5),LION:0031413
PA(P-43:6),LION:0031418
PA(P-43:7),LION:0031419
PA(P-43:8),LION:0031420
PA(P-43:9),LION:0031421
PA(P-43:10),LION:0031422
PA(P-45:0),LION:0031423
PA(P-45:1),LION:0031424
PA(P-45:2),LION:0031425
PA(P-45:3),LION:0031426
PA(P-45:4),LION:0031427
PA(P-45:5),LION:0031428
PA(P-45:6),LION:0031430
PA(P-45:7),LION:0031431
PA(P-45:8),LION:0031432
PA(P-45:9),LION:0031437
PA(P-41:9),LION:0031438
PA(P-45:10),LION:0031439
PA(P-45:11),LION:0031440
PA(P-45:12),LION:0031441
PA(P-47:0),LION:0031442
PA(P-47:1),LION:0031443
PA(P-47:2),LION:0031444
PA(P-47:3),LION:0031445
PA(P-47:4),LION:0031446
PA(P-47:5),LION:0031447
PA(P-47:6),LION:0031448
PA(P-47:7),LION:0031449
PA(P-47:8),LION:0031450
PA(P-47:9),LION:0031451
PA(P-47:10),LION:0031452
PA(P-47:11),LION:0031453
PA(P-47:12),LION:0031454
PA(P-47:13),LION:0031455
PA(P-49:0),LION:0031456
PA(P-49:1),LION:0031457
PA(P-49:2),LION:0031458
PA(P-49:3),LION:0031459
PA(P-49:4),LION:0031460
PA(P-49:5),LION:0031461
PA(P-49:6),LION:0031462
PA(P-49:7),LION:0031463
PA(P-49:8),LION:0031464
PA(P-49:9),LION:0031465
PA(P-49:10),LION:0031466
PA(P-49:11),LION:0031470
PA(P-49:12),LION:0031471
PA(P-50:0),LION:0031480
PA(P-50:1),LION:0031486
PA(P-50:2),LION:0031487
PA(P-50:3),LION:0031488
PA(P-50:4),LION:0031500
PA(P-50:5),LION:0031510
PA(P-50:6),LION:0031514
PA(P-50:7),LION:0031515
PA(P-50:8),LION:0031530
PA(P-50:9),LION:0031531
PA(P-50:10),LION:0031532
PA(P-50:11),LION:0031540
PA(P-50:12),LION:0031545
PA(P-49:13),LION:0031546
PA(P-50:13),LION:0031551
PA(P-51:0),LION:0031552
PA(P-51:1),LION:0031553
PA(P-51:2),LION:0031559
PA(P-51:3),LION:0031567
PA(P-51:4),LION:0031579
PA(P-51:5),LION:0031580
PA(P-51:6),LION:0031587
PA(P-51:7),LION:0031590
PA(P-51:8),LION:0031591
PA(P-51:9),LION:0031601
PA(P-51:10),LION:0031608
PA(P-51:11),LION:0031609
PA(P-51:12),LION:0031610
PA(P-51:13),LION:0031611
PA(P-50:14),LION:0031615
PA(P-51:14),LION:0031619
PA(P-52:0),LION:0031620
PA(P-52:1),LION:0031624
PA(P-52:2),LION:0031625
PA(P-52:3),LION:0031626
PA(P-52:4),LION:0031630
PA(P-52:5),LION:0031631
PA(P-52:6),LION:0031641
PA(P-52:7),LION:0031642
PA(P-52:8),LION:0031643
PA(P-52:9),LION:0031644
PA(P-52:10),LION:0031645
PA(P-52:11),LION:0031649
PA(P-52:12),LION:0031650
PA(P-52:13),LION:0031655
PA(P-52:14),LION:0031656
PA(O-24:0),LION:0036424
PA(O-25:0),LION:0036425
PA(O-26:0),LION:0036426
PA(O-26:1),LION:0036427
PA(O-27:0),LION:0036428
PA(O-27:1),LION:0036429
PA(O-29:0),LION:0036430
PA(O-29:1),LION:0036431
PA(O-29:2),LION:0036462
PA(O-30:3),LION:0036468
PA(O-31:0),LION:0036469
PA(O-31:1),LION:0036470
PA(O-31:2),LION:0036471
PA(O-31:3),LION:0036472
PA(O-33:0),LION:0036473
PA(O-33:1),LION:0036474
PA(O-33:2),LION:0036475
PA(O-33:3),LION:0036477
PA(O-33:4),LION:0036478
PA(O-35:0),LION:0036487
PA(O-35:1),LION:0036488
PA(O-35:2),LION:0036498
PA(O-35:3),LION:0036499
PA(O-35:4),LION:0036508
PA(O-35:5),LION:0036512
PA(O-37:0),LION:0036513
PA(O-37:1),LION:0036514
PA(O-37:2),LION:0036515
PA(O-37:3),LION:0036516
PA(O-37:4),LION:0036517
PA(O-37:5),LION:0036518
PA(O-37:6),LION:0036519
PA(O-37:7),LION:0036520
PA(O-33:5),LION:0036533
PA(O-35:6),LION:0036539
PA(O-39:0),LION:0036540
PA(O-39:1),LION:0036555
PA(O-39:2),LION:0036556
PA(O-39:3),LION:0036557
PA(O-39:4),LION:0036558
PA(O-39:5),LION:0036559
PA(O-39:6),LION:0036560
PA(O-39:7),LION:0036561
PA(O-39:8),LION:0036565
PA(O-41:0),LION:0036566
PA(O-41:1),LION:0036573
PA(O-41:2),LION:0036574
PA(O-41:3),LION:0036581
PA(O-41:4),LION:0036582
PA(O-41:5),LION:0036589
PA(O-41:6),LION:0036590
PA(O-41:7),LION:0036591
PA(O-41:8),LION:0036592
PA(O-43:0),LION:0036593
PA(O-43:1),LION:0036599
PA(O-43:2),LION:0036600
PA(O-43:3),LION:0036608
PA(O-43:4),LION:0036609
PA(O-43:5),LION:0036624
PA(O-43:6),LION:0036628
PA(O-43:7),LION:0036629
PA(O-43:8),LION:0036630
PA(O-43:9),LION:0036631
PA(O-43:10),LION:0036632
PA(O-45:0),LION:0036633
PA(O-45:1),LION:0036634
PA(O-45:2),LION:0036635
PA(O-45:3),LION:0036636
PA(O-45:4),LION:0036641
PA(O-45:5),LION:0036642
PA(O-45:6),LION:0036650
PA(O-45:7),LION:0036651
PA(O-45:8),LION:0036658
PA(O-45:9),LION:0036659
PA(O-41:9),LION:0036664
PA(O-45:10),LION:0036666
PA(O-45:11),LION:0036667
PA(O-45:12),LION:0036668
PA(O-47:0),LION:0036669
PA(O-47:1),LION:0036671
PA(O-47:2),LION:0036672
PA(O-47:3),LION:0036681
PA(O-47:4),LION:0036682
PA(O-47:5),LION:0036693
PA(O-47:6),LION:0036697
PA(O-47:7),LION:0036701
PA(O-47:8),LION:0036702
PA(O-47:9),LION:0036706
PA(O-47:10),LION:0036707
PA(O-47:11),LION:0036708
PA(O-47:12),LION:0036709
PA(O-47:13),LION:0036710
PA(O-49:0),LION:0036711
PA(O-49:1),LION:0036712
PA(O-49:2),LION:0036713
PA(O-49:3),LION:0036714
PA(O-49:4),LION:0036715
PA(O-49:5),LION:0036721
PA(O-49:6),LION:0036722
PA(O-49:7),LION:0036730
PA(O-49:8),LION:0036731
PA(O-49:9),LION:0036736
PA(O-49:10),LION:0036737
PA(O-49:11),LION:0036739
PA(O-49:12),LION:0036741
PA(O-50:0),LION:0036742
PA(O-50:1),LION:0036744
PA(O-50:2),LION:0036745
PA(O-50:3),LION:0036746
PA(O-50:4),LION:0036749
PA(O-50:5),LION:0036750
PA(O-50:6),LION:0036756
PA(O-50:7),LION:0036760
PA(O-50:8),LION:0036761
